measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1355.0,2321.0,1355.0,-1.0,3.0,0.0568389892578125
2320.0,1358.0,2320.0564,1357.8308,0.0,0.0,0.09943413734436035
2320.0,1356.0,2320.0273,1356.9292,0.0,2.0,0.14403700828552246
2320.0,1356.0,2320.0154,1356.5804,0.0,2.0,0.18185997009277344
2320.0,1356.0,2320.008,1356.3728,0.0,2.0,0.22540712356567383
2320.0,1357.0,2320.0022,1356.5037,0.0,1.0,0.2850639820098877
2320.0,1358.0,2319.9968,1356.9559,0.0,0.0,0.33626818656921387
2321.0,1355.0,2320.319,1356.3591,-1.0,3.0,0.3745710849761963
2321.0,1355.0,2320.5615,1355.9027,-1.0,3.0,0.4249439239501953
2319.0,1358.0,2320.1506,1356.4441,1.0,0.0,0.47866201400756836
2321.0,1355.0,2320.4177,1355.9814,-1.0,3.0,0.5444819927215576
2321.0,1356.0,2320.6497,1355.899,-1.0,2.0,0.5938780307769775
2322.0,1354.0,2321.106,1355.2687,-2.0,4.0,0.636472225189209
2321.0,1355.0,2321.1611,1355.0859,-1.0,3.0,0.674077033996582
2321.0,1355.0,2321.1926,1354.9618,-1.0,3.0,0.7227158546447754
2322.0,1354.0,2321.4895,1354.5804,-2.0,4.0,0.7810041904449463
2319.0,1358.0,2320.9673,1355.2897,1.0,0.0,0.8271360397338867
2320.0,1357.0,2320.7573,1355.6692,0.0,1.0,0.865664005279541
2320.0,1357.0,2320.5823,1355.983,0.0,1.0,0.9059200286865234
2321.0,1356.0,2320.6687,1356.0122,-1.0,2.0,0.9513459205627441
2320.0,1358.0,2320.5032,1356.5238,0.0,0.0,1.026505947113037
2320.0,1357.0,2320.3225,1356.802,0.0,1.0,1.076786994934082
2322.0,1355.0,2320.7253,1356.4376,-2.0,3.0,1.126899003982544
2320.0,1357.0,2320.5261,1356.6696,0.0,1.0,1.1874809265136719
2320.0,1357.0,2320.3406,1356.8878,0.0,1.0,1.2749900817871094
2321.0,1356.0,2320.4739,1356.7892,-1.0,2.0,1.3446509838104248
2322.0,1355.0,2320.9285,1356.3239,-2.0,3.0,1.390239953994751
2322.0,1354.0,2321.263,1355.6655,-2.0,4.0,1.4513428211212158
2322.0,1355.0,2321.5522,1355.4133,-2.0,3.0,1.5126211643218994
2320.0,1357.0,2321.1863,1355.8044,0.0,1.0,1.5580191612243652
2322.0,1354.0,2321.4407,1355.2908,-2.0,4.0,1.5987169742584229
2322.0,1354.0,2321.624,1354.9111,-2.0,4.0,1.6392199993133545
2320.0,1357.0,2321.293,1355.324,0.0,1.0,1.6897690296173096
2320.0,1357.0,2321.0127,1355.6687,0.0,1.0,1.7514948844909668
2321.0,1356.0,2321.0054,1355.7325,-1.0,2.0,1.799043893814087
2322.0,1354.0,2321.2468,1355.2958,-2.0,4.0,1.8402891159057617
2322.0,1354.0,2321.437,1354.9531,-2.0,4.0,1.8801090717315674
2322.0,1354.0,2321.594,1354.6686,-2.0,4.0,1.9283440113067627
2320.0,1357.0,2321.2798,1355.0867,0.0,1.0,1.996150016784668
2321.0,1356.0,2321.2253,1355.2385,-1.0,2.0,2.042983055114746
2321.0,1355.0,2321.1738,1355.1486,-1.0,3.0,2.083685874938965
2321.0,1355.0,2321.1313,1355.084,-1.0,3.0,2.123171091079712
2321.0,1355.0,2321.0952,1355.0297,-1.0,3.0,2.169605016708374
2322.0,1355.0,2321.2827,1354.9717,-2.0,3.0,2.236701011657715
2322.0,1354.0,2321.4622,1354.6731,-2.0,4.0,2.2866408824920654
2322.0,1354.0,2321.6055,1354.4537,-2.0,4.0,2.3285090923309326
2323.0,1354.0,2321.9448,1354.277,-3.0,4.0,2.3688881397247314
2320.0,1357.0,2321.5803,1354.7786,0.0,1.0,2.418031930923462
2321.0,1357.0,2321.479,1355.2213,-1.0,1.0,2.4809648990631104
2321.0,1356.0,2321.3809,1355.4097,-1.0,2.0,2.5298869609832764
2321.0,1356.0,2321.295,1355.5634,-1.0,2.0,2.5701398849487305
2320.0,1357.0,2321.01,1355.9032,0.0,1.0,2.6082870960235596
2321.0,1356.0,2320.9775,1355.981,-1.0,2.0,2.651439905166626
2321.0,1356.0,2320.9421,1356.0621,-1.0,2.0,2.710390090942383
2321.0,1357.0,2320.9004,1356.3711,-1.0,1.0,2.7666540145874023
2322.0,1354.0,2321.0918,1355.9706,-2.0,4.0,2.80947208404541
2321.0,1356.0,2321.0505,1356.0349,-1.0,2.0,2.850430965423584
2322.0,1355.0,2321.2188,1355.8839,-2.0,3.0,2.900341033935547
2322.0,1355.0,2321.367,1355.7604,-2.0,3.0,2.962196111679077
2322.0,1354.0,2321.5042,1355.4326,-2.0,4.0,3.0061960220336914
2322.0,1355.0,2321.619,1355.3496,-2.0,3.0,3.047150135040283
2322.0,1355.0,2321.7146,1355.2795,-2.0,3.0,3.089392900466919
2323.0,1354.0,2321.9941,1355.0234,-3.0,4.0,3.1351699829101562
2323.0,1354.0,2322.2415,1354.797,-3.0,4.0,3.195496082305908
2322.0,1355.0,2322.281,1354.7805,-2.0,3.0,3.2510321140289307
2321.0,1356.0,2322.102,1354.9762,-1.0,2.0,3.2925918102264404
2321.0,1356.0,2321.9307,1355.1538,-1.0,2.0,3.3338630199432373
2321.0,1356.0,2321.785,1355.3069,-1.0,2.0,3.3877410888671875
2321.0,1356.0,2321.6548,1355.4464,-1.0,2.0,3.4463748931884766
2322.0,1354.0,2321.7307,1355.1805,-2.0,4.0,3.4907679557800293
2323.0,1354.0,2321.9822,1354.9512,-3.0,4.0,3.5293478965759277
2322.0,1355.0,2322.0112,1354.9402,-2.0,3.0,3.573944091796875
2322.0,1355.0,2322.0417,1354.9265,-2.0,3.0,3.6380460262298584
2322.0,1355.0,2322.0784,1354.9078,-2.0,3.0,3.6875
2322.0,1354.0,2322.0955,1354.7172,-2.0,4.0,3.72917103767395
2323.0,1353.0,2322.286,1354.3771,-3.0,5.0,3.7713520526885986
2322.0,1354.0,2322.2769,1354.2557,-2.0,4.0,3.816995859146118
2322.0,1354.0,2322.2744,1354.1372,-2.0,4.0,3.876199960708618
2322.0,1354.0,2322.2725,1354.0251,-2.0,4.0,3.9257030487060547
2321.0,1357.0,2322.0872,1354.4661,-1.0,1.0,3.9662649631500244
2321.0,1356.0,2321.9214,1354.6895,-1.0,2.0,4.0059778690338135
2321.0,1356.0,2321.7766,1354.8839,-1.0,2.0,4.052756071090698
2321.0,1357.0,2321.6445,1355.2229,-1.0,1.0,4.117950916290283
