measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.08475184440612793
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.13654088973999023
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.18103790283203125
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.22941970825195312
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.29332470893859863
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.34281492233276367
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.381976842880249
2321.0,1356.0,2321.0,1356.0,0.0,0.0,0.42977476119995117
2322.0,1356.0,2321.3071,1356.0,-1.0,0.0,0.48993897438049316
2322.0,1356.0,2321.5845,1356.0,-1.0,0.0,0.5587849617004395
2322.0,1356.0,2321.8037,1356.0,-1.0,0.0,0.6048309803009033
2322.0,1356.0,2321.9324,1356.0,-1.0,0.0,0.6475768089294434
2322.0,1356.0,2322.025,1356.0,-1.0,0.0,0.7141377925872803
2322.0,1355.0,2322.1343,1355.7019,-1.0,1.0,0.772007942199707
2322.0,1355.0,2322.183,1355.4662,-1.0,1.0,0.8091869354248047
2322.0,1355.0,2322.1938,1355.3029,-1.0,1.0,0.8501100540161133
2322.0,1355.0,2322.2043,1355.172,-1.0,1.0,0.9086699485778809
2322.0,1355.0,2322.231,1355.031,-1.0,1.0,0.9674828052520752
2322.0,1355.0,2322.2307,1354.9309,-1.0,1.0,1.0122809410095215
2323.0,1355.0,2322.469,1354.876,-2.0,1.0,1.0587799549102783
2323.0,1355.0,2322.672,1354.8258,-2.0,1.0,1.1160888671875
2323.0,1355.0,2322.8564,1354.7793,-2.0,1.0,1.1823539733886719
2323.0,1355.0,2323.001,1354.756,-2.0,1.0,1.225050926208496
2323.0,1355.0,2323.0754,1354.7682,-2.0,1.0,1.2631371021270752
2323.0,1355.0,2323.1245,1354.7839,-2.0,1.0,1.3210840225219727
2323.0,1355.0,2323.2021,1354.781,-2.0,1.0,1.3877530097961426
2323.0,1354.0,2323.2334,1354.5195,-2.0,2.0,1.4276068210601807
2323.0,1354.0,2323.2285,1354.3325,-2.0,2.0,1.4696168899536133
2323.0,1355.0,2323.2197,1354.4392,-2.0,1.0,1.5084450244903564
2324.0,1354.0,2323.4473,1354.2899,-3.0,2.0,1.553450107574463
2324.0,1354.0,2323.651,1354.1532,-3.0,2.0,1.6213939189910889
2324.0,1354.0,2323.851,1354.0165,-3.0,2.0,1.6687970161437988
2324.0,1354.0,2323.968,1353.9451,-3.0,2.0,1.7107648849487305
