measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2321.0,1355.0,2321.0,1355.0,0.0,0.0,0.0895087718963623
2321.0,1355.0,2321.0,1355.0,0.0,0.0,0.1498878002166748
2321.0,1354.0,2321.0,1354.4978,0.0,1.0,0.20142483711242676
2321.0,1355.0,2321.0,1354.669,0.0,0.0,0.25366806983947754
2321.0,1355.0,2321.0,1354.7778,0.0,0.0,0.31246185302734375
2321.0,1354.0,2321.0,1354.5243,0.0,1.0,0.4179849624633789
2321.0,1354.0,2321.0,1354.2517,0.0,1.0,0.4819798469543457
2321.0,1355.0,2321.0,1354.4966,0.0,0.0,0.5716638565063477
2321.0,1354.0,2321.0,1354.2711,0.0,1.0,0.6402738094329834
2321.0,1354.0,2321.0,1354.1335,0.0,1.0,0.6806399822235107
2321.0,1354.0,2321.0,1354.0587,0.0,1.0,0.7203729152679443
2321.0,1354.0,2321.0,1354.0063,0.0,1.0,0.7617456912994385
2321.0,1354.0,2321.0,1353.9657,0.0,1.0,0.810917854309082
2321.0,1354.0,2321.0,1353.928,0.0,1.0,0.8681540489196777
2322.0,1354.0,2321.264,1353.8944,-1.0,1.0,0.9182929992675781
2321.0,1354.0,2321.2236,1353.8817,0.0,1.0,0.9573397636413574
2321.0,1354.0,2321.1858,1353.8812,0.0,1.0,0.9981369972229004
2322.0,1354.0,2321.3943,1353.8821,-1.0,1.0,1.0467729568481445
2322.0,1354.0,2321.5881,1353.8809,-1.0,1.0,1.11329984664917
2322.0,1354.0,2321.7776,1353.8838,-1.0,1.0,1.1661789417266846
2322.0,1354.0,2321.9084,1353.8994,-1.0,1.0,1.2043907642364502
2322.0,1354.0,2321.9944,1353.9167,-1.0,1.0,1.2450668811798096
2345.0,1354.0,2327.7786,1353.9323,-24.0,1.0,1.295346736907959
2305.0,1353.0,2322.7317,1353.6892,16.0,2.0,1.359184741973877
2309.0,1353.0,2319.1074,1353.4688,12.0,2.0,1.4043068885803223
2346.0,1353.0,2325.9475,1353.2985,-25.0,2.0,1.446185827255249
2346.0,1353.0,2331.3706,1353.1742,-25.0,2.0,1.4867897033691406
2318.0,1353.0,2328.9988,1353.0725,3.0,2.0,1.5415968894958496
2299.0,1352.0,2322.243,1352.7184,22.0,3.0,1.6051788330078125
2342.0,1353.0,2327.3684,1352.6589,-21.0,2.0,1.6500449180603027
2329.0,1353.0,2328.218,1352.6531,-8.0,2.0,1.690412998199463
2329.0,1353.0,2328.7966,1352.6674,-8.0,2.0,1.7306170463562012
2295.0,1352.0,2321.3562,1352.4445,26.0,3.0,1.7772419452667236
2333.0,1353.0,2323.8186,1352.4645,-12.0,2.0,1.8463788032531738
2340.0,1353.0,2327.905,1352.4928,-19.0,2.0,1.896406888961792
2297.0,1352.0,2320.5935,1352.3024,24.0,3.0,1.937499761581421
2297.0,1352.0,2314.7449,1352.1664,24.0,3.0,1.9770269393920898
2321.0,1353.0,2315.3315,1352.2803,0.0,2.0,2.032155752182007
2345.0,1353.0,2321.202,1352.3651,-24.0,2.0,2.092733860015869
2306.0,1353.0,2317.2656,1352.4579,15.0,2.0,2.1445727348327637
2308.0,1353.0,2314.338,1352.552,13.0,2.0,2.185457706451416
2308.0,1353.0,2312.209,1352.6398,13.0,2.0,2.2256267070770264
2346.0,1353.0,2318.7278,1352.714,-25.0,2.0,2.2766919136047363
2319.0,1353.0,2318.4097,1352.784,2.0,2.0,2.3451409339904785
2299.0,1352.0,2313.307,1352.6204,22.0,3.0,2.3906710147857666
2342.0,1353.0,2319.1738,1352.7119,-21.0,2.0,2.431527853012085
2342.0,1353.0,2324.041,1352.7875,-21.0,2.0,2.471944808959961
2330.0,1353.0,2325.5447,1352.8529,-9.0,2.0,2.5246667861938477
2295.0,1351.0,2319.382,1352.4868,26.0,4.0,2.590402841567993
2333.0,1353.0,2322.261,1352.6029,-12.0,2.0,2.6361749172210693
2341.0,1353.0,2326.5754,1352.7051,-20.0,2.0,2.676165819168091
2341.0,1353.0,2330.044,1352.7869,-20.0,2.0,2.7168188095092773
2298.0,1352.0,2324.1658,1352.6536,23.0,3.0,2.769786834716797
2321.0,1353.0,2323.7744,1352.7511,0.0,2.0,2.835279703140259
2346.0,1352.0,2328.983,1352.627,-25.0,3.0,2.88211989402771
2308.0,1352.0,2325.0676,1352.5109,13.0,3.0,2.9249398708343506
2308.0,1352.0,2321.7437,1352.4137,13.0,3.0,2.9665939807891846
2308.0,1352.0,2318.9377,1352.333,13.0,3.0,3.0189239978790283
2347.0,1352.0,2324.3699,1352.262,-26.0,3.0,3.085988759994507
2320.0,1352.0,2323.7195,1352.1965,1.0,3.0,3.131248712539673
2299.0,1351.0,2318.678,1351.9365,22.0,4.0,3.1704978942871094
2299.0,1351.0,2314.5186,1351.7253,22.0,4.0,3.21163272857666
2342.0,1352.0,2319.2532,1351.7378,-21.0,3.0,3.260894775390625
2332.0,1352.0,2321.4954,1351.7444,-11.0,3.0,3.325509786605835
2296.0,1351.0,2316.2898,1351.541,25.0,4.0,3.3799328804016113
2333.0,1352.0,2319.2053,1351.5786,-12.0,3.0,3.419348955154419
2333.0,1352.0,2321.7368,1351.6249,-12.0,3.0,3.4620249271392822
2342.0,1352.0,2325.5796,1351.663,-21.0,3.0,3.5127248764038086
2299.0,1351.0,2320.947,1351.5024,22.0,4.0,3.573875904083252
2321.0,1352.0,2320.923,1351.5494,0.0,3.0,3.621823787689209
2347.0,1352.0,2325.907,1351.6024,-26.0,3.0,3.6631920337677
2347.0,1352.0,2330.0647,1351.6548,-26.0,3.0,3.707937002182007
2309.0,1351.0,2326.9468,1351.5194,12.0,4.0,3.7591049671173096
2308.0,1351.0,2324.001,1351.3955,13.0,4.0,3.8192989826202393
2348.0,1351.0,2328.6748,1351.2784,-27.0,4.0,3.868224859237671
2322.0,1352.0,2327.9915,1351.3695,-1.0,3.0,3.9075968265533447
2322.0,1352.0,2327.3174,1351.4548,-1.0,3.0,3.9513278007507324
2299.0,1350.0,2322.8513,1351.1866,22.0,5.0,4.005170822143555
2343.0,1351.0,2326.366,1351.1097,-22.0,4.0,4.062206745147705
2333.0,1352.0,2327.9077,1351.2144,-12.0,3.0,4.11344575881958
2296.0,1350.0,2322.7266,1350.9652,25.0,5.0,4.157597780227661
2296.0,1350.0,2318.2146,1350.7642,25.0,5.0,4.198672771453857
2333.0,1352.0,2320.353,1350.9159,-12.0,3.0,4.246784925460815
2344.0,1351.0,2324.0605,1350.881,-23.0,4.0,4.3087708950042725
2300.0,1350.0,2320.1624,1350.6794,21.0,5.0,4.354871034622192
2321.0,1351.0,2320.1313,1350.6779,0.0,4.0,4.39595890045166
2321.0,1351.0,2320.1382,1350.6881,0.0,4.0,4.435842990875244
2348.0,1351.0,2324.277,1350.6959,-27.0,4.0,4.484695911407471
2311.0,1351.0,2322.3657,1350.6919,10.0,4.0,4.5553388595581055
2308.0,1351.0,2320.0364,1350.6847,13.0,4.0,4.621833801269531
2348.0,1351.0,2324.493,1350.6844,-27.0,4.0,4.662942886352539
2323.0,1351.0,2324.385,1350.7032,-2.0,4.0,4.70689582824707
2323.0,1351.0,2324.2832,1350.7225,-2.0,4.0,4.769498825073242
2300.0,1350.0,2320.5532,1350.5691,21.0,5.0,4.827317953109741
2343.0,1351.0,2324.004,1350.5977,-22.0,4.0,4.872415781021118
2335.0,1351.0,2325.8083,1350.6315,-14.0,4.0,4.914520025253296
2297.0,1349.0,2321.6667,1350.3628,24.0,6.0,4.969743728637695
2297.0,1349.0,2317.8528,1350.1052,24.0,6.0,5.027957916259766
2333.0,1351.0,2319.8206,1350.1772,-12.0,4.0,5.073062896728516
2345.0,1351.0,2323.3975,1350.2568,-24.0,4.0,5.113157749176025
2302.0,1349.0,2320.4058,1350.0444,19.0,6.0,5.1648108959198
2321.0,1350.0,2320.3555,1349.9795,0.0,5.0,5.22796106338501
2349.0,1350.0,2324.3882,1349.9175,-28.0,5.0,5.2727580070495605
2349.0,1350.0,2328.006,1349.8815,-28.0,5.0,5.314199924468994
2312.0,1350.0,2326.1,1349.8529,9.0,5.0,5.35826301574707
2309.0,1350.0,2323.9983,1349.8274,12.0,5.0,5.411118030548096
2349.0,1350.0,2327.484,1349.7946,-28.0,5.0,5.4791600704193115
2325.0,1350.0,2327.5554,1349.7539,-4.0,5.0,5.5812437534332275
2300.0,1349.0,2323.8486,1349.5358,21.0,6.0,5.640885829925537
2343.0,1350.0,2326.8987,1349.5405,-22.0,5.0,5.707262754440308
2336.0,1350.0,2328.6104,1349.5455,-15.0,5.0,5.759271860122681
