measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2320.0,1357.0,2320.0,1357.0,0.0,0.0,0.08403515815734863
2321.0,1355.0,2320.9438,1355.1123,-1.0,2.0,0.14105010032653809
2321.0,1355.0,2320.9744,1355.0516,-1.0,2.0,0.17981410026550293
2322.0,1354.0,2321.346,1354.668,-2.0,3.0,0.2263340950012207
2322.0,1354.0,2321.5835,1354.4218,-2.0,3.0,0.2936210632324219
2320.0,1357.0,2321.1072,1355.2317,0.0,0.0,0.34228992462158203
2320.0,1357.0,2320.7156,1355.8815,0.0,0.0,0.38336706161499023
2320.0,1357.0,2320.43,1356.3507,0.0,0.0,0.4231081008911133
2320.0,1356.0,2320.22,1356.3955,0.0,1.0,0.4736330509185791
2320.0,1357.0,2320.028,1356.7598,0.0,0.0,0.532966136932373
2320.0,1357.0,2319.8833,1357.0422,0.0,0.0,0.5794861316680908
2320.0,1357.0,2319.812,1357.1973,0.0,0.0,0.6197741031646729
2320.0,1357.0,2319.7722,1357.292,0.0,0.0,0.6600601673126221
2320.0,1357.0,2319.745,1357.3595,0.0,0.0,0.7059330940246582
2319.0,1358.0,2319.456,1357.6884,1.0,-1.0,0.7680189609527588
2321.0,1355.0,2319.7317,1357.1788,-1.0,2.0,0.8165090084075928
2321.0,1355.0,2320.0027,1356.6934,-1.0,2.0,0.855065107345581
2322.0,1354.0,2320.473,1356.0496,-2.0,3.0,0.8939352035522461
2321.0,1355.0,2320.623,1355.7563,-1.0,2.0,0.9397130012512207
2321.0,1355.0,2320.7668,1355.4781,-1.0,2.0,1.010660171508789
2322.0,1354.0,2321.198,1354.8999,-2.0,3.0,1.0582032203674316
2319.0,1358.0,2320.7249,1355.5472,1.0,-1.0,1.0994372367858887
2320.0,1358.0,2320.5867,1356.0825,0.0,-1.0,1.137580156326294
2321.0,1356.0,2320.7153,1356.0363,-1.0,1.0,1.1901330947875977
2321.0,1356.0,2320.8518,1355.9784,-1.0,1.0,1.254136085510254
2321.0,1356.0,2320.9653,1355.932,-1.0,1.0,1.2939400672912598
2319.0,1358.0,2320.5217,1356.4207,1.0,-1.0,1.3355340957641602
2320.0,1358.0,2320.4077,1356.8185,0.0,-1.0,1.3779730796813965
2320.0,1358.0,2320.3125,1357.1512,0.0,-1.0,1.419018030166626
2320.0,1358.0,2320.2324,1357.4285,0.0,-1.0,1.480776071548462
2322.0,1354.0,2320.6733,1356.6825,-2.0,3.0,1.5555250644683838
2320.0,1357.0,2320.535,1356.7894,0.0,0.0,1.595721960067749
2321.0,1355.0,2320.6714,1356.3368,-1.0,2.0,1.6402850151062012
2321.0,1355.0,2320.7876,1355.9629,-1.0,2.0,1.7046260833740234
2322.0,1354.0,2321.1653,1355.3488,-2.0,3.0,1.7552180290222168
2321.0,1355.0,2321.1987,1355.1313,-1.0,2.0,1.793187141418457
2321.0,1355.0,2321.211,1354.9851,-1.0,2.0,1.8327679634094238
2321.0,1355.0,2321.2227,1354.8625,-1.0,2.0,1.8794901371002197
2322.0,1354.0,2321.4739,1354.5006,-2.0,3.0,1.9404170513153076
2321.0,1356.0,2321.4746,1354.6274,-1.0,1.0,1.9922640323638916
2320.0,1357.0,2321.204,1355.0374,0.0,0.0,2.030364990234375
2320.0,1357.0,2320.9695,1355.3992,0.0,0.0,2.0756800174713135
2320.0,1357.0,2320.7732,1355.6982,0.0,0.0,2.1264760494232178
2320.0,1358.0,2320.596,1356.192,0.0,-1.0,2.187678098678589
2322.0,1354.0,2320.9048,1355.7029,-2.0,3.0,2.2372801303863525
2321.0,1355.0,2320.9353,1355.5195,-1.0,2.0,2.2770700454711914
2321.0,1355.0,2320.9573,1355.3771,-1.0,2.0,2.3170270919799805
2321.0,1355.0,2320.9749,1355.2582,-1.0,2.0,2.368241310119629
2320.0,1357.0,2320.7727,1355.58,0.0,0.0,2.430338144302368
2322.0,1355.0,2321.039,1355.4266,-2.0,2.0,2.4800939559936523
2320.0,1358.0,2320.8142,1355.9873,0.0,-1.0,2.5209810733795166
2320.0,1358.0,2320.6292,1356.4468,0.0,-1.0,2.5603671073913574
2322.0,1355.0,2320.8887,1356.2109,-2.0,2.0,2.615921974182129
2322.0,1354.0,2321.1213,1355.7977,-2.0,3.0,2.6790971755981445
