measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.08069610595703125
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.14016008377075195
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.18383407592773438
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.23674225807189941
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.30106496810913086
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.35448694229125977
2318.0,1356.0,2318.0,1356.0,0.0,0.0,0.4007570743560791
2318.0,1355.0,2318.0,1355.5706,0.0,1.0,0.44413304328918457
2318.0,1355.0,2318.0,1355.2979,0.0,1.0,0.49993014335632324
2318.0,1355.0,2318.0,1355.0792,0.0,1.0,0.5622141361236572
2318.0,1355.0,2318.0,1354.9387,0.0,1.0,0.6103181838989258
2319.0,1355.0,2318.3562,1354.8645,-1.0,1.0,0.650231122970581
2319.0,1355.0,2318.6064,1354.8323,-1.0,1.0,0.6991531848907471
2319.0,1355.0,2318.8223,1354.7971,-1.0,1.0,0.7621519565582275
2319.0,1355.0,2319.01,1354.7812,-1.0,1.0,0.8080570697784424
2319.0,1355.0,2319.0903,1354.812,-1.0,1.0,0.8532071113586426
2319.0,1355.0,2319.1572,1354.8386,-1.0,1.0,0.8986601829528809
2319.0,1355.0,2319.1985,1354.8691,-1.0,1.0,0.9582169055938721
2319.0,1354.0,2319.2368,1354.5502,-1.0,2.0,1.018014907836914
2319.0,1354.0,2319.2395,1354.2954,-1.0,2.0,1.0671799182891846
2319.0,1354.0,2319.2158,1354.123,-1.0,2.0,1.11275315284729
2319.0,1354.0,2319.1848,1354.0148,-1.0,2.0,1.1570072174072266
2319.0,1354.0,2319.1575,1353.9355,-1.0,2.0,1.2088508605957031
2320.0,1354.0,2319.4563,1353.8674,-2.0,2.0,1.274393081665039
2320.0,1354.0,2319.7117,1353.8203,-2.0,2.0,1.3235080242156982
2320.0,1354.0,2319.879,1353.8182,-2.0,2.0,1.371217966079712
2320.0,1354.0,2319.9968,1353.8264,-2.0,2.0,1.415513038635254
2320.0,1354.0,2320.0754,1353.8422,-2.0,2.0,1.4743640422821045
2320.0,1354.0,2320.1582,1353.8551,-2.0,2.0,1.5343470573425293
2320.0,1354.0,2320.2002,1353.8812,-2.0,2.0,1.5807180404663086
2320.0,1354.0,2320.2036,1353.9115,-2.0,2.0,1.6280372142791748
2321.0,1354.0,2320.501,1353.9408,-3.0,2.0,1.6993451118469238
2321.0,1353.0,2320.7866,1353.6499,-3.0,3.0,1.761064052581787
2321.0,1353.0,2320.9678,1353.4192,-3.0,3.0,1.8063249588012695
2321.0,1353.0,2321.075,1353.2554,-3.0,3.0,1.849839210510254
2321.0,1353.0,2321.1494,1353.1335,-3.0,3.0,1.9220221042633057
2321.0,1353.0,2321.2507,1353.0023,-3.0,3.0,1.9780030250549316
2321.0,1353.0,2321.2676,1352.9365,-3.0,3.0,2.0260210037231445
2321.0,1353.0,2321.26,1352.8999,-3.0,3.0,2.0744071006774902
2321.0,1353.0,2321.25,1352.872,-3.0,3.0,2.13643217086792
2321.0,1353.0,2321.2393,1352.8456,-3.0,3.0,2.1928110122680664
2322.0,1353.0,2321.5027,1352.8439,-4.0,3.0,2.2398111820220947
2322.0,1353.0,2321.697,1352.8527,-4.0,3.0,2.284359931945801
2322.0,1353.0,2321.8447,1352.8644,-4.0,3.0,2.342993974685669
2322.0,1353.0,2321.9746,1352.8754,-4.0,3.0,2.4048171043395996
2322.0,1353.0,2322.0693,1352.8925,-4.0,3.0,2.4506869316101074
2322.0,1352.0,2322.1187,1352.6409,-4.0,4.0,2.4940578937530518
2322.0,1352.0,2322.1477,1352.4443,-4.0,4.0,2.5609898567199707
2322.0,1352.0,2322.1848,1352.257,-4.0,4.0,2.618875026702881
2322.0,1352.0,2322.1902,1352.1168,-4.0,4.0,2.667349100112915
2323.0,1352.0,2322.444,1352.0192,-5.0,4.0,2.715487003326416
2323.0,1352.0,2322.6428,1351.9454,-5.0,4.0,2.7755260467529297
2323.0,1352.0,2322.826,1351.8683,-5.0,4.0,2.832214117050171
2323.0,1352.0,2322.946,1351.832,-5.0,4.0,2.8797738552093506
2323.0,1352.0,2323.0315,1351.811,-5.0,4.0,2.9245948791503906
2323.0,1352.0,2323.0955,1351.7976,-5.0,4.0,2.987783193588257
2323.0,1351.0,2323.159,1351.5315,-5.0,5.0,3.0493600368499756
2323.0,1351.0,2323.1987,1351.3059,-5.0,5.0,3.0961709022521973
2323.0,1351.0,2323.2046,1351.1517,-5.0,5.0,3.1441781520843506
2323.0,1351.0,2323.2056,1351.0245,-5.0,5.0,3.2053470611572266
