measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2320.0,1357.0,2320.0,1357.0,0.0,0.0,0.059983015060424805
2319.0,1358.0,2319.0564,1357.9436,1.0,-1.0,0.10203909873962402
2320.0,1357.0,2319.522,1357.478,0.0,0.0,0.1472477912902832
2322.0,1355.0,2320.4229,1356.5773,-2.0,2.0,0.18578004837036133
2322.0,1355.0,2320.9612,1356.0387,-2.0,2.0,0.23358583450317383
2320.0,1357.0,2320.7917,1356.208,0.0,0.0,0.30231499671936035
2322.0,1355.0,2321.3083,1355.6915,-2.0,2.0,0.3512909412384033
2322.0,1355.0,2321.65,1355.3501,-2.0,2.0,0.39351391792297363
2322.0,1354.0,2321.8872,1354.799,-2.0,3.0,0.4319779872894287
2322.0,1354.0,2322.0452,1354.4087,-2.0,3.0,0.4855990409851074
2319.0,1358.0,2321.309,1355.2365,1.0,-1.0,0.5472807884216309
2322.0,1355.0,2321.5713,1355.0629,-2.0,2.0,0.5914947986602783
2320.0,1357.0,2321.182,1355.5333,0.0,0.0,0.634814977645874
2320.0,1357.0,2320.8733,1355.9062,0.0,0.0,0.6750631332397461
2320.0,1357.0,2320.6335,1356.1976,0.0,0.0,0.7214651107788086
2321.0,1356.0,2320.6746,1356.2008,-1.0,1.0,0.7808477878570557
2321.0,1356.0,2320.7063,1356.2104,-1.0,1.0,0.828665018081665
2320.0,1357.0,2320.489,1356.4607,0.0,0.0,0.8668007850646973
2320.0,1357.0,2320.3228,1356.6514,0.0,0.0,0.9131920337677002
2320.0,1358.0,2320.1704,1357.0686,0.0,-1.0,0.9656918048858643
2322.0,1355.0,2320.53,1356.7009,-2.0,2.0,1.0235319137573242
2320.0,1358.0,2320.3438,1357.1385,0.0,-1.0,1.071336030960083
2321.0,1356.0,2320.4592,1356.9614,-1.0,1.0,1.108644962310791
2321.0,1356.0,2320.562,1356.7969,-1.0,1.0,1.1494238376617432
2321.0,1355.0,2320.6465,1356.4229,-1.0,2.0,1.1982920169830322
2322.0,1355.0,2320.9683,1356.0902,-2.0,2.0,1.262908935546875
2322.0,1355.0,2321.2825,1355.7644,-2.0,2.0,1.3117759227752686
2322.0,1355.0,2321.5364,1355.4987,-2.0,2.0,1.3529729843139648
2322.0,1355.0,2321.7214,1355.3033,-2.0,2.0,1.3933830261230469
2322.0,1354.0,2321.8743,1354.8987,-2.0,3.0,1.4445230960845947
2321.0,1357.0,2321.7815,1355.2637,-1.0,0.0,1.5023448467254639
2322.0,1354.0,2321.956,1354.813,-2.0,3.0,1.5501279830932617
2322.0,1354.0,2322.057,1354.4917,-2.0,3.0,1.5891549587249756
2322.0,1355.0,2322.129,1354.4854,-2.0,2.0,1.628101110458374
2322.0,1355.0,2322.1887,1354.4784,-2.0,2.0,1.6748790740966797
2322.0,1355.0,2322.2612,1354.4457,-2.0,2.0,1.736987829208374
2320.0,1358.0,2321.8333,1355.1592,0.0,-1.0,1.7877039909362793
2322.0,1354.0,2321.9214,1354.8326,-2.0,3.0,1.8301479816436768
2320.0,1358.0,2321.518,1355.5096,0.0,-1.0,1.8725910186767578
2321.0,1356.0,2321.407,1355.6215,-1.0,1.0,1.9193470478057861
2321.0,1356.0,2321.3066,1355.7231,-1.0,1.0,1.9826140403747559
2322.0,1354.0,2321.453,1355.3334,-2.0,3.0,2.0301320552825928
2322.0,1355.0,2321.578,1355.243,-2.0,2.0,2.072309970855713
2320.0,1357.0,2321.2268,1355.6226,0.0,0.0,2.1143429279327393
2320.0,1357.0,2320.9307,1355.9431,0.0,0.0,2.1621079444885254
2320.0,1357.0,2320.6555,1356.2388,0.0,0.0,2.225260019302368
2321.0,1356.0,2320.6248,1356.2888,-1.0,1.0,2.2737631797790527
2321.0,1356.0,2320.636,1356.2954,-1.0,1.0,2.316042900085449
2320.0,1357.0,2320.4265,1356.52,0.0,0.0,2.3580689430236816
2320.0,1357.0,2320.2466,1356.7128,0.0,0.0,2.4092979431152344
2320.0,1357.0,2320.0657,1356.9061,0.0,0.0,2.475841999053955
2322.0,1354.0,2320.359,1356.3933,-2.0,3.0,2.521346092224121
2322.0,1354.0,2320.6487,1355.9187,-2.0,3.0,2.5629160404205322
2322.0,1356.0,2320.8955,1355.9518,-2.0,1.0,2.6054039001464844
2322.0,1354.0,2321.1035,1355.5618,-2.0,3.0,2.6514320373535156
2322.0,1354.0,2321.288,1355.2128,-2.0,3.0,2.712344169616699
2321.0,1356.0,2321.2412,1355.323,-1.0,1.0,2.7647769451141357
2323.0,1354.0,2321.6284,1355.0054,-3.0,3.0,2.806720018386841
2323.0,1354.0,2321.953,1354.7405,-3.0,3.0,2.851407766342163
2323.0,1354.0,2322.2344,1354.5103,-3.0,3.0,2.8977649211883545
2323.0,1354.0,2322.499,1354.291,-3.0,3.0,2.9636008739471436
2323.0,1354.0,2322.7932,1354.042,-3.0,3.0,3.022732973098755
