measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2366.0,1345.0,2366.0,1345.0,1.0,-2.0,0.10097217559814453
2365.0,1346.0,2365.6643,1345.3357,2.0,-3.0,0.1417102813720703
2367.0,1344.0,2366.0017,1344.9984,0.0,-1.0,0.17898917198181152
2367.0,1344.0,2366.2065,1344.7936,0.0,-1.0,0.22475719451904297
2367.0,1344.0,2366.347,1344.6531,0.0,-1.0,0.28145694732666016
2367.0,1343.0,2366.4531,1344.3927,0.0,0.0,0.3300909996032715
2366.0,1345.0,2366.3965,1344.4678,1.0,-2.0,0.3688361644744873
2366.0,1345.0,2366.3499,1344.5295,1.0,-2.0,0.41681909561157227
2366.0,1345.0,2366.3108,1344.5812,1.0,-2.0,0.4625880718231201
2367.0,1343.0,2366.3936,1344.392,0.0,0.0,0.5251600742340088
2367.0,1343.0,2366.473,1344.2113,0.0,0.0,0.5706472396850586
2367.0,1343.0,2366.5432,1344.051,0.0,0.0,0.6077721118927002
2367.0,1343.0,2366.605,1343.9099,0.0,0.0,0.6462562084197998
2367.0,1343.0,2366.6616,1343.7802,0.0,0.0,0.6919541358947754
2368.0,1343.0,2366.8352,1343.6466,-1.0,0.0,0.7526242733001709
2367.0,1343.0,2366.8918,1343.5067,0.0,0.0,0.8055140972137451
2367.0,1343.0,2366.9329,1343.3956,0.0,0.0,0.8442859649658203
2368.0,1342.0,2367.0867,1343.1816,-1.0,1.0,0.8823843002319336
2367.0,1343.0,2367.1072,1343.1062,0.0,0.0,0.928814172744751
2367.0,1343.0,2367.1333,1343.0226,0.0,0.0,0.9905331134796143
2367.0,1343.0,2367.1648,1342.9285,0.0,0.0,1.040179967880249
2367.0,1343.0,2367.1794,1342.8678,0.0,0.0,1.0805273056030273
2367.0,1343.0,2367.1858,1342.8256,0.0,0.0,1.123302936553955
2367.0,1343.0,2367.1924,1342.7848,0.0,0.0,1.1664299964904785
2367.0,1343.0,2367.1968,1342.7504,0.0,0.0,1.2281789779663086
2368.0,1342.0,2367.3494,1342.5564,-1.0,1.0,1.2832210063934326
2368.0,1343.0,2367.4824,1342.5386,-1.0,0.0,1.324275016784668
2368.0,1343.0,2367.5928,1342.542,-1.0,0.0,1.3655149936676025
2368.0,1343.0,2367.6946,1342.5447,-1.0,0.0,1.4233381748199463
2368.0,1343.0,2367.8027,1342.5358,-1.0,0.0,1.4852910041809082
2368.0,1343.0,2367.909,1342.5293,-1.0,0.0,1.5303401947021484
2368.0,1343.0,2367.9739,1342.5535,-1.0,0.0,1.5695440769195557
2368.0,1343.0,2368.0286,1342.5784,-1.0,0.0,1.6100752353668213
2368.0,1342.0,2368.0806,1342.4587,-1.0,1.0,1.6556692123413086
2368.0,1342.0,2368.128,1342.3499,-1.0,1.0,1.7155799865722656
2367.0,1344.0,2368.0396,1342.5286,0.0,-1.0,1.7653839588165283
2367.0,1344.0,2367.9397,1342.7108,0.0,-1.0,1.8040001392364502
2367.0,1344.0,2367.8374,1342.8823,0.0,-1.0,1.8409950733184814
2367.0,1344.0,2367.7441,1343.0366,0.0,-1.0,1.8850231170654297
2367.0,1343.0,2367.661,1343.0406,0.0,0.0,1.9403033256530762
2368.0,1343.0,2367.7266,1343.0482,-1.0,0.0,1.9927692413330078
2368.0,1343.0,2367.784,1343.0555,-1.0,0.0,2.031208038330078
2368.0,1343.0,2367.8303,1343.0603,-1.0,0.0,2.070082187652588
2368.0,1342.0,2367.87,1342.9237,-1.0,1.0,2.116328001022339
2367.0,1344.0,2367.7664,1343.0865,0.0,-1.0,2.1825222969055176
2367.0,1344.0,2367.6638,1343.2543,0.0,-1.0,2.2314560413360596
2369.0,1342.0,2367.868,1343.0975,-2.0,1.0,2.2682931423187256
2369.0,1342.0,2368.0457,1342.9535,-2.0,1.0,2.3074512481689453
2368.0,1343.0,2368.0598,1342.9711,-1.0,0.0,2.35636305809021
2369.0,1342.0,2368.2263,1342.8447,-2.0,1.0,2.422961950302124
2369.0,1342.0,2368.39,1342.7233,-2.0,1.0,2.465573310852051
2369.0,1342.0,2368.5188,1342.6132,-2.0,1.0,2.505282163619995
