measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2322.0,1354.0,2322.0,1354.0,-1.0,1.0,0.05491304397583008
2321.0,1355.0,2321.0564,1354.9436,0.0,0.0,0.09703922271728516
2320.0,1356.0,2320.5317,1355.4683,1.0,-1.0,0.13727903366088867
2320.0,1356.0,2320.3315,1355.6685,1.0,-1.0,0.17639398574829102
2321.0,1355.0,2320.5103,1355.4897,0.0,0.0,0.21778011322021484
2321.0,1355.0,2320.6472,1355.3528,0.0,0.0,0.2595841884613037
2321.0,1355.0,2320.7583,1355.2418,0.0,0.0,0.3144702911376953
2321.0,1355.0,2320.8652,1355.1349,0.0,0.0,0.37128305435180664
2322.0,1354.0,2321.2754,1354.7245,-1.0,1.0,0.41793203353881836
2348.0,1351.0,2329.8535,1353.4614,-27.0,4.0,0.4649631977081299
2309.0,1356.0,2324.5142,1354.021,12.0,-1.0,0.5230221748352051
2309.0,1356.0,2320.117,1354.4896,12.0,-1.0,0.5879321098327637
2347.0,1351.0,2328.3796,1353.3081,-26.0,4.0,0.6364612579345703
2347.0,1351.0,2334.4336,1352.4828,-26.0,4.0,0.6800920963287354
2323.0,1353.0,2332.429,1352.4163,-2.0,2.0,0.7310490608215332
2295.0,1357.0,2323.424,1353.4028,26.0,-2.0,0.7870621681213379
2339.0,1352.0,2327.433,1352.9323,-18.0,3.0,0.8301601409912109
2339.0,1352.0,2330.6304,1352.5839,-18.0,3.0,0.8690590858459473
2334.0,1353.0,2331.9045,1352.5684,-13.0,2.0,0.9174730777740479
2293.0,1356.0,2323.1143,1353.2673,28.0,-1.0,0.978283166885376
2328.0,1354.0,2323.8906,1353.4166,-7.0,1.0,1.0249989032745361
2345.0,1350.0,2328.9905,1352.5417,-24.0,5.0,1.0627031326293945
2345.0,1350.0,2333.109,1351.8485,-24.0,5.0,1.1032640933990479
2299.0,1356.0,2325.5908,1352.7,22.0,-1.0,1.1517181396484375
2315.0,1356.0,2322.7544,1353.464,6.0,-1.0,1.2082099914550781
2315.0,1356.0,2319.9944,1354.2078,6.0,-1.0,1.2640972137451172
2310.0,1355.0,2316.3267,1354.5889,11.0,0.0,1.3074402809143066
2310.0,1355.0,2313.7756,1354.8372,11.0,0.0,1.3483011722564697
2303.0,1355.0,2309.899,1355.0536,18.0,0.0,1.4012911319732666
2348.0,1350.0,2317.5747,1354.0197,-27.0,5.0,1.460684061050415
2326.0,1350.0,2318.8503,1353.0629,-5.0,5.0,1.5042691230773926
2326.0,1350.0,2320.1802,1352.27,-5.0,5.0,1.5440781116485596
2296.0,1355.0,2314.0107,1352.8501,25.0,0.0,1.5864169597625732
2340.0,1352.0,2319.2327,1352.6244,-19.0,3.0,1.635056972503662
2337.0,1350.0,2323.0847,1351.9407,-16.0,5.0,1.6978089809417725
2337.0,1350.0,2326.7239,1351.2952,-16.0,5.0,1.7514729499816895
2294.0,1355.0,2318.9343,1352.0574,27.0,0.0,1.7945332527160645
2330.0,1352.0,2321.2747,1351.9772,-9.0,3.0,1.8361191749572754
2347.0,1349.0,2327.151,1351.2218,-26.0,6.0,1.890002965927124
