measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2322.0,1353.0,2322.0,1353.0,-1.0,1.0,0.12784409523010254
2322.0,1353.0,2322.0,1353.0,-1.0,1.0,0.19400715827941895
2321.0,1355.0,2321.4917,1354.0164,0.0,-1.0,0.24645709991455078
2321.0,1355.0,2321.284,1354.4319,0.0,-1.0,0.3078761100769043
2321.0,1355.0,2321.143,1354.7137,0.0,-1.0,0.36100006103515625
2321.0,1356.0,2321.0461,1355.2539,0.0,-2.0,0.4269850254058838
2322.0,1354.0,2321.3342,1354.973,-1.0,0.0,0.48264098167419434
2321.0,1355.0,2321.2156,1355.0593,0.0,-1.0,0.5337159633636475
2321.0,1356.0,2321.1265,1355.4553,0.0,-2.0,0.5982589721679688
2321.0,1356.0,2321.058,1355.7603,0.0,-2.0,0.7295050621032715
2321.0,1355.0,2320.9763,1355.7009,0.0,-1.0,0.792492151260376
2322.0,1354.0,2321.327,1355.1495,-1.0,0.0,0.9412670135498047
2322.0,1354.0,2321.6675,1354.637,-1.0,0.0,1.0198559761047363
2321.0,1355.0,2321.457,1354.7126,0.0,-1.0,1.0960290431976318
2321.0,1355.0,2321.3142,1354.7565,0.0,-1.0,1.147156000137329
2323.0,1353.0,2321.865,1354.1508,-2.0,1.0,1.2065858840942383
2323.0,1353.0,2322.2844,1353.6788,-2.0,1.0,1.2687838077545166
2321.0,1355.0,2322.0098,1353.9069,0.0,-1.0,1.3171980381011963
2321.0,1355.0,2321.771,1354.1287,0.0,-1.0,1.3730719089508057
2322.0,1354.0,2321.8652,1354.0109,-1.0,0.0,1.4454238414764404
2322.0,1354.0,2321.9578,1353.8856,-1.0,0.0,1.5114109516143799
2321.0,1355.0,2321.7034,1354.1354,0.0,-1.0,1.558744192123413
2322.0,1354.0,2321.792,1354.0574,-1.0,0.0,1.6186518669128418
2324.0,1352.0,2322.4568,1353.3911,-3.0,2.0,1.697786808013916
2322.0,1354.0,2322.4385,1353.4054,-1.0,0.0,1.7562708854675293
2322.0,1354.0,2322.3726,1353.4895,-1.0,0.0,1.8014490604400635
2324.0,1352.0,2322.8723,1353.0072,-3.0,2.0,1.8522250652313232
2323.0,1352.0,2323.014,1352.6046,-2.0,2.0,1.9129669666290283
2322.0,1354.0,2322.8616,1352.8076,-1.0,0.0,1.9771440029144287
2322.0,1355.0,2322.7214,1353.2747,-1.0,-1.0,2.089933156967163
2324.0,1352.0,2323.258,1352.7452,-3.0,2.0,2.151093006134033
2322.0,1354.0,2322.9707,1353.0374,-1.0,0.0,2.2264809608459473
2322.0,1355.0,2322.744,1353.581,-1.0,-1.0,2.2797210216522217
2322.0,1354.0,2322.5552,1353.7147,-1.0,0.0,2.355293035507202
2323.0,1353.0,2322.6882,1353.5486,-2.0,1.0,2.4369499683380127
2323.0,1354.0,2322.7969,1353.715,-2.0,0.0,2.491554021835327
2323.0,1354.0,2322.8667,1353.8296,-2.0,0.0,2.5362329483032227
2323.0,1353.0,2322.9153,1353.6604,-2.0,1.0,2.579477071762085
2348.0,1350.0,2328.918,1352.8168,-27.0,4.0,2.64047908782959
2310.0,1355.0,2325.0466,1353.293,11.0,-1.0,2.6916511058807373
2303.0,1356.0,2320.0635,1353.9338,18.0,-2.0,2.72891902923584
2303.0,1356.0,2316.113,1354.4375,18.0,-2.0,2.7707221508026123
2347.0,1351.0,2322.0142,1353.8174,-26.0,3.0,2.820112943649292
2323.0,1353.0,2322.1282,1353.7052,-2.0,1.0,2.881757974624634
2295.0,1356.0,2316.05,1354.2686,26.0,-2.0,2.9293057918548584
2340.0,1352.0,2320.61,1353.8723,-19.0,2.0,2.969838857650757
2340.0,1352.0,2324.4521,1353.5322,-19.0,2.0,3.0082309246063232
2336.0,1351.0,2326.8813,1353.0515,-15.0,3.0,3.057562828063965
2294.0,1355.0,2320.682,1353.4237,27.0,-1.0,3.12758207321167
2330.0,1352.0,2322.4185,1353.1417,-9.0,2.0,3.171405076980591
2330.0,1352.0,2323.9814,1352.8965,-9.0,2.0,3.2107458114624023
2346.0,1350.0,2328.4873,1352.2938,-25.0,4.0,3.2520229816436768
2299.0,1356.0,2323.1904,1352.9473,22.0,-2.0,3.302389144897461
2316.0,1356.0,2321.7588,1353.5448,5.0,-2.0,3.3775060176849365
2349.0,1349.0,2327.4495,1352.6261,-28.0,5.0,3.425853967666626
2311.0,1354.0,2324.3887,1352.8739,10.0,0.0,3.464155912399292
2311.0,1354.0,2321.8225,1353.0841,10.0,0.0,3.50570011138916
2302.0,1355.0,2317.927,1353.454,19.0,-1.0,3.565011978149414
2347.0,1351.0,2323.125,1353.0139,-26.0,3.0,3.6189849376678467
2324.0,1353.0,2323.313,1353.0103,-3.0,1.0,3.659571886062622
2324.0,1353.0,2323.4673,1353.0084,-3.0,1.0,3.700083017349243
2295.0,1355.0,2318.2964,1353.3733,26.0,-1.0,3.74560809135437
2341.0,1349.0,2322.0256,1352.6135,-20.0,5.0,3.805164098739624
2337.0,1351.0,2324.7366,1352.2755,-16.0,3.0,3.8508830070495605
2294.0,1355.0,2319.2646,1352.7223,27.0,-1.0,3.891623020172119
2294.0,1355.0,2314.5818,1353.1104,27.0,-1.0,3.9306681156158447
2330.0,1350.0,2316.672,1352.5956,-9.0,4.0,3.9773330688476562
2351.0,1344.0,2322.0857,1351.0836,-30.0,10.0,4.039469003677368
2351.0,1344.0,2327.1775,1349.6661,-30.0,10.0,4.087906122207642
2300.0,1355.0,2322.8062,1350.3623,21.0,-1.0,4.130183935165405
2315.0,1355.0,2321.5107,1350.9952,6.0,-1.0,4.169738054275513
2351.0,1348.0,2326.2705,1350.4069,-30.0,6.0,4.216288089752197
