measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.07654237747192383
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.1248781681060791
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.17461419105529785
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.21448326110839844
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.2535581588745117
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.30762338638305664
2322.0,1354.0,2322.0,1354.0,0.0,0.0,0.36804723739624023
2291.0,1353.0,2317.955,1353.8695,31.0,1.0,0.41991519927978516
2321.0,1354.0,2318.1895,1353.8811,1.0,0.0,0.4614992141723633
2343.0,1354.0,2321.043,1353.8921,-21.0,0.0,0.5349502563476562
2305.0,1354.0,2319.0615,1353.9004,17.0,0.0,0.6298313140869141
2345.0,1353.0,2322.4397,1353.7721,-23.0,1.0,0.7020061016082764
2317.0,1354.0,2321.8208,1353.7914,5.0,0.0,0.7495081424713135
2317.0,1354.0,2321.2134,1353.813,5.0,0.0,0.8141000270843506
2299.0,1353.0,2318.0498,1353.6882,23.0,1.0,0.8776302337646484
2329.0,1353.0,2319.4475,1353.5703,-7.0,1.0,0.9316751956939697
2329.0,1353.0,2320.7761,1353.465,-7.0,1.0,0.9825022220611572
2295.0,1352.0,2317.02,1353.2245,27.0,2.0,1.047126054763794
2332.0,1354.0,2318.9922,1353.2894,-10.0,0.0,1.0986742973327637
2338.0,1353.0,2321.7524,1353.215,-16.0,1.0,1.1391890048980713
2298.0,1353.0,2318.4014,1353.1547,24.0,1.0,1.1804122924804688
2321.0,1353.0,2318.6675,1353.1007,1.0,1.0,1.2320780754089355
2321.0,1353.0,2318.8923,1353.0402,1.0,1.0,1.320268154144287
2306.0,1353.0,2316.7063,1352.9613,16.0,1.0,1.3796911239624023
2309.0,1353.0,2315.2449,1352.921,13.0,1.0,1.434718370437622
