measured_X,measured_Y,estimated_X,estimated_Y,delta_x,delta_y,Time
1971.0,1181.0,1971.0,1181.0,-1.0,0.0,0.04094505310058594
1971.0,1181.0,1971.0,1181.0,-1.0,0.0,0.08024907112121582
1972.0,1181.0,1972.0,1181.0,-2.0,0.0,0.11449003219604492
1972.0,1181.0,1972.0,1181.0,-2.0,0.0,0.1443319320678711
1973.0,1181.0,1973.0,1181.0,-3.0,0.0,0.17560601234436035
1973.0,1181.0,1973.0,1181.0,-3.0,0.0,0.20297503471374512
1973.0,1181.0,1973.0,1181.0,-3.0,0.0,0.23261690139770508
1973.0,1181.0,1973.0,1181.0,-3.0,0.0,0.26693010330200195
1973.0,1179.0,1973.0,1179.0,-3.0,2.0,0.30149006843566895
1973.0,1180.0,1973.0,1180.0,-3.0,1.0,0.33231091499328613
1973.0,1180.0,1973.0,1180.0,-3.0,1.0,0.3674612045288086
1974.0,1180.0,1974.0,1180.0,-4.0,1.0,0.3964269161224365
1974.0,1180.0,1974.0,1180.0,-4.0,1.0,0.42792797088623047
1974.0,1179.0,1974.0,1179.0,-4.0,2.0,0.45792722702026367
1974.0,1179.0,1974.0,1179.0,-4.0,2.0,0.487429141998291
1975.0,1179.0,1975.0,1179.0,-5.0,2.0,0.5164821147918701
1975.0,1179.0,1975.0,1179.0,-5.0,2.0,0.5487542152404785
1975.0,1179.0,1975.0,1179.0,-5.0,2.0,0.5782370567321777
1975.0,1179.0,1975.0,1179.0,-5.0,2.0,0.6107079982757568
1976.0,1179.0,1976.0,1179.0,-6.0,2.0,0.6432790756225586
1976.0,1179.0,1976.0,1179.0,-6.0,2.0,0.6738312244415283
1977.0,1179.0,1977.0,1179.0,-7.0,2.0,0.7053802013397217
1977.0,1179.0,1977.0,1179.0,-7.0,2.0,0.7356269359588623
1977.0,1178.0,1977.0,1178.0,-7.0,3.0,0.7658789157867432
1977.0,1178.0,1977.0,1178.0,-7.0,3.0,0.795964241027832
1978.0,1178.0,1978.0,1178.0,-8.0,3.0,0.8258202075958252
1978.0,1178.0,1978.0,1178.0,-8.0,3.0,0.8572561740875244
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,0.887476921081543
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,0.9171440601348877
1980.0,1178.0,1980.0,1178.0,-10.0,3.0,0.947782039642334
1980.0,1178.0,1980.0,1178.0,-10.0,3.0,0.9781081676483154
1980.0,1178.0,1980.0,1178.0,-10.0,3.0,1.0095880031585693
1980.0,1178.0,1980.0,1178.0,-10.0,3.0,1.0435068607330322
1981.0,1178.0,1981.0,1178.0,-11.0,3.0,1.0793230533599854
1981.0,1178.0,1981.0,1178.0,-11.0,3.0,1.1152970790863037
1982.0,1178.0,1982.0,1178.0,-12.0,3.0,1.1492919921875
1982.0,1178.0,1982.0,1178.0,-12.0,3.0,1.1842141151428223
1983.0,1178.0,1983.0,1178.0,-13.0,3.0,1.214632272720337
1983.0,1178.0,1983.0,1178.0,-13.0,3.0,1.2451319694519043
1982.0,1179.0,1982.0,1179.0,-12.0,2.0,1.2761640548706055
1982.0,1179.0,1982.0,1179.0,-12.0,2.0,1.3067140579223633
1983.0,1179.0,1983.0,1179.0,-13.0,2.0,1.3404479026794434
1983.0,1179.0,1983.0,1179.0,-13.0,2.0,1.372351884841919
1983.0,1179.0,1983.0,1179.0,-13.0,2.0,1.4040780067443848
1983.0,1179.0,1983.0,1179.0,-13.0,2.0,1.4345510005950928
1984.0,1179.0,1984.0,1179.0,-14.0,2.0,1.4665908813476562
1984.0,1179.0,1984.0,1179.0,-14.0,2.0,1.4962279796600342
1985.0,1179.0,1985.0,1179.0,-15.0,2.0,1.5268871784210205
1985.0,1179.0,1985.0,1179.0,-15.0,2.0,1.5590651035308838
1985.0,1178.0,1985.0,1178.0,-15.0,3.0,1.5922560691833496
1986.0,1178.0,1986.0,1178.0,-16.0,3.0,1.6208581924438477
1986.0,1178.0,1986.0,1178.0,-16.0,3.0,1.6558151245117188
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,1.6845080852508545
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,1.7152409553527832
1985.0,1180.0,1985.0,1180.0,-15.0,1.0,1.745398998260498
1985.0,1180.0,1985.0,1180.0,-15.0,1.0,1.7777981758117676
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,1.8073580265045166
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,1.8430991172790527
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,1.8726341724395752
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,1.9037280082702637
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,1.9322879314422607
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,1.962294101715088
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,1.9925320148468018
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.0232131481170654
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,2.053684949874878
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,2.085875988006592
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.114647150039673
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.14662504196167
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.1774709224700928
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.209739923477173
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.240900993347168
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.2716751098632812
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.3025619983673096
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.333811044692993
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.3679332733154297
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.3975799083709717
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.427596092224121
1988.0,1179.0,1988.0,1179.0,-18.0,2.0,2.4561688899993896
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.4862918853759766
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.517091989517212
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.546882152557373
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.577956199645996
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.6090190410614014
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.6412341594696045
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.669271945953369
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.6999011039733887
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.7300190925598145
1987.0,1179.0,1987.0,1179.0,-17.0,2.0,2.7608981132507324
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.7916760444641113
1987.0,1180.0,1987.0,1180.0,-17.0,1.0,2.8245980739593506
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.857682228088379
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.885952949523926
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.917330265045166
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.948309898376465
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,2.9782252311706543
1986.0,1180.0,1986.0,1180.0,-16.0,1.0,3.008782148361206
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,3.039048194885254
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,3.0671579837799072
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,3.0954480171203613
1987.0,1178.0,1987.0,1178.0,-17.0,3.0,3.1256470680236816
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,3.157762050628662
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,3.190701961517334
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,3.2249069213867188
1986.0,1179.0,1986.0,1179.0,-16.0,2.0,3.2599222660064697
1986.0,1178.0,1986.0,1178.0,-16.0,3.0,3.293347120285034
1986.0,1178.0,1986.0,1178.0,-16.0,3.0,3.327014207839966
1985.0,1179.0,1985.0,1179.0,-15.0,2.0,3.363154172897339
1985.0,1179.0,1985.0,1179.0,-15.0,2.0,3.3970329761505127
1985.0,1178.0,1985.0,1178.0,-15.0,3.0,3.4318130016326904
1985.0,1178.0,1985.0,1178.0,-15.0,3.0,3.4638020992279053
1985.0,1179.0,1985.0,1179.0,-15.0,2.0,3.498528003692627
1985.0,1178.0,1985.0,1178.0,-15.0,3.0,3.5315849781036377
1985.0,1178.0,1985.0,1178.0,-15.0,3.0,3.564674139022827
1984.0,1178.0,1984.0,1178.0,-14.0,3.0,3.600135087966919
1984.0,1178.0,1984.0,1178.0,-14.0,3.0,3.6384382247924805
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.666024923324585
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.69999098777771
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.7309281826019287
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.7664871215820312
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.7984251976013184
1984.0,1177.0,1984.0,1177.0,-14.0,4.0,3.8310630321502686
1983.0,1177.0,1983.0,1177.0,-13.0,4.0,3.867018938064575
1983.0,1177.0,1983.0,1177.0,-13.0,4.0,3.8976690769195557
1983.0,1177.0,1983.0,1177.0,-13.0,4.0,3.930371046066284
1981.0,1178.0,1981.0,1178.0,-11.0,3.0,3.964233875274658
1981.0,1178.0,1981.0,1178.0,-11.0,3.0,3.996807098388672
1981.0,1177.0,1981.0,1177.0,-11.0,4.0,4.027956008911133
1981.0,1177.0,1981.0,1177.0,-11.0,4.0,4.060413837432861
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,4.091737985610962
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,4.127586126327515
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,4.158587217330933
1979.0,1178.0,1979.0,1178.0,-9.0,3.0,4.194216251373291
1978.0,1177.0,1978.0,1177.0,-8.0,4.0,4.226302862167358
1978.0,1177.0,1978.0,1177.0,-8.0,4.0,4.259105920791626
1977.0,1177.0,1977.0,1177.0,-7.0,4.0,4.2913219928741455
1977.0,1177.0,1977.0,1177.0,-7.0,4.0,4.32191801071167
1976.0,1177.0,1976.0,1177.0,-6.0,4.0,4.358576059341431
1976.0,1177.0,1976.0,1177.0,-6.0,4.0,4.393766164779663
1975.0,1177.0,1975.0,1177.0,-5.0,4.0,4.431060075759888
1974.0,1177.0,1974.0,1177.0,-4.0,4.0,4.465528964996338
1974.0,1177.0,1974.0,1177.0,-4.0,4.0,4.503756046295166
1974.0,1177.0,1974.0,1177.0,-4.0,4.0,4.535576105117798
1974.0,1177.0,1974.0,1177.0,-4.0,4.0,4.568903207778931
1972.0,1177.0,1972.0,1177.0,-2.0,4.0,4.604382038116455
1971.0,1177.0,1971.0,1177.0,-1.0,4.0,4.635190963745117
1971.0,1177.0,1971.0,1177.0,-1.0,4.0,4.66809606552124
1970.0,1177.0,1970.0,1177.0,0.0,4.0,4.69825005531311
1970.0,1177.0,1970.0,1177.0,0.0,4.0,4.7326130867004395
1970.0,1178.0,1970.0,1178.0,0.0,3.0,4.766684055328369
1970.0,1178.0,1970.0,1178.0,0.0,3.0,4.8037638664245605
